[2026-06-25 15:58:59] close: 61684.87, RSI: 30.33, SMOOTHING: 51.53
[2026-06-25 15:59:59] close: 61712.35, RSI: 39.64, SMOOTHING: 50.82
[2026-06-25 16:00:59] close: 61733.99, RSI: 45.78, SMOOTHING: 50.05
[2026-06-25 16:01:59] close: 61720.29, RSI: 42.81, SMOOTHING: 49.16
[2026-06-25 16:02:59] close: 61696.37, RSI: 38.16, SMOOTHING: 47.85
[2026-06-25 16:03:59] close: 61709.13, RSI: 41.79, SMOOTHING: 46.54
[2026-06-25 16:04:59] close: 61734.59, RSI: 48.32, SMOOTHING: 45.70
[2026-06-25 16:05:59] close: 61730.45, RSI: 47.39, SMOOTHING: 44.59
[2026-06-25 16:06:59] close: 61736.56, RSI: 48.95, SMOOTHING: 43.93
[2026-06-25 16:07:59] close: 61738.26, RSI: 49.40, SMOOTHING: 43.55
[2026-06-25 16:08:59] close: 61730.55, RSI: 47.36, SMOOTHING: 43.26
[2026-06-25 16:09:59] close: 61750.01, RSI: 52.68, SMOOTHING: 43.34
[2026-06-25 16:10:59] close: 61770.0, RSI: 57.43, SMOOTHING: 44.46
[2026-06-25 16:11:59] close: 61775.57, RSI: 58.68, SMOOTHING: 46.34
[2026-06-25 16:12:59] close: 61782.54, RSI: 60.24, SMOOTHING: 48.47
[2026-06-25 16:13:59] close: 61754.0, RSI: 51.61, SMOOTHING: 49.33
[2026-06-25 16:14:59] close: 61740.82, RSI: 48.18, SMOOTHING: 49.50
[2026-06-25 16:15:59] close: 61739.68, RSI: 47.88, SMOOTHING: 49.86
[2026-06-25 16:16:59] close: 61761.99, RSI: 53.87, SMOOTHING: 50.98
[2026-06-25 16:17:59] close: 61759.46, RSI: 53.12, SMOOTHING: 51.79
[2026-06-25 16:18:59] close: 61726.0, RSI: 44.38, SMOOTHING: 51.51
[2026-06-25 16:19:59] close: 61737.42, RSI: 47.55, SMOOTHING: 51.52
[2026-06-25 16:20:59] close: 61728.68, RSI: 45.41, SMOOTHING: 51.27
[2026-06-25 16:21:59] close: 61682.98, RSI: 36.25, SMOOTHING: 50.33
[2026-06-25 16:22:59] close: 61614.33, RSI: 27.32, SMOOTHING: 48.90
[2026-06-25 16:23:59] close: 61665.99, RSI: 39.41, SMOOTHING: 47.95
[2026-06-25 16:24:59] close: 61660.02, RSI: 38.61, SMOOTHING: 46.61
[2026-06-25 16:25:59] close: 61644.96, RSI: 36.60, SMOOTHING: 45.03
[2026-06-25 16:26:59] close: 61674.04, RSI: 42.81, SMOOTHING: 43.78
[2026-06-25 16:27:59] close: 61683.53, RSI: 44.71, SMOOTHING: 43.29
[2026-06-25 16:28:59] close: 61712.82, RSI: 50.22, SMOOTHING: 43.44
[2026-06-25 16:29:59] close: 61696.01, RSI: 47.30, SMOOTHING: 43.40
[2026-06-25 16:30:59] close: 61760.22, RSI: 57.45, SMOOTHING: 43.65
[2026-06-25 16:31:59] close: 61688.74, RSI: 46.68, SMOOTHING: 43.19
[2026-06-25 16:32:59] close: 61724.0, RSI: 51.51, SMOOTHING: 43.70
[2026-06-25 16:33:59] close: 61738.0, RSI: 53.32, SMOOTHING: 44.11
[2026-06-25 16:34:59] close: 61733.56, RSI: 52.65, SMOOTHING: 44.63
[2026-06-25 16:35:59] close: 61712.99, RSI: 49.54, SMOOTHING: 45.58
[2026-06-25 16:36:59] close: 61744.31, RSI: 53.99, SMOOTHING: 47.48
[2026-06-25 16:37:59] close: 61767.64, RSI: 57.04, SMOOTHING: 48.74
[2026-06-25 16:38:59] close: 61765.64, RSI: 56.69, SMOOTHING: 50.03
[2026-06-25 16:39:59] close: 61735.39, RSI: 51.59, SMOOTHING: 51.11
[2026-06-25 16:40:59] close: 61740.69, RSI: 52.40, SMOOTHING: 51.79
[2026-06-25 16:41:59] close: 61759.93, RSI: 55.31, SMOOTHING: 52.55
[2026-06-25 16:42:59] close: 61765.1, RSI: 56.09, SMOOTHING: 52.97
